project,app_sloc,test_sloc,compiled_app_size_bytes,compiled_test_size_bytes,dependency_size_compressed_bytes,dependency_size_decompressed_bytes
adamfisk_LittleProxy,4212,4697,644,480,83236,293656
addthis_stream-lib,4835,3806,1984,568,62844,218916
alibaba_dubbo,55503,43608,8904,9832,155376,556620
alibaba_TProfiler,2360,49,28,252,14840,45248
apache_shiro,28578,7527,3916,5404,307944,838756
aragozin_jvm-tools,30243,5504,2100,3500,28036,92492
armzilla_amazon-echo-ha-bridge,974,17,16,148,98928,264272
aws_aws-sdk-java,2694574,25907,6700,675992,366636,2332168
brianfrankcooper_YCSB,18265,5496,1068,2384,2289732,4597508
BroadleafCommerce_BroadleafCommerce,244101,12834,4048,30252,144292,508352
Bukkit_Bukkit,28916,3639,464,3620,18780,65124
citerus_dddsample-core,12125,2417,432,1488,139216,388880
dieforfree_qart4j,1998,20,0,0,32,32
dubboclub_dubbokeeper,99291,488,152,916,55528,153356
eirslett_frontend-maven-plugin,2651,80,36,556,50224,173732
BroadleafCommerce_BroadleafCommerce,0,0,0,0,28,28
goldmansachs_gs-collections,134183,130640,44048,58524,170432,647016
google_gson,10000,15067,2668,924,20516,67112
google_guice,0,0,12904,3980,79120,289984
igniterealtime_Openfire,135448,4352,552,20740,193284,694484
JakeWharton_DiskLruCache,780,960,48,80,22020,71564
JakeWharton_retrofit1-okhttp3-client,111,217,44,32,28616,97128
JakeWharton_RxRelay,1108,1210,212,96,29256,101148
JakeWharton_RxReplayingShare,127,359,76,68,53860,194208
jayway_rest-assured,16402,20579,2604,6704,281124,940104
JCTools_JCTools,23027,6635,884,5724,58752,206340
junit-team_junit4,10701,20074,5212,1776,24000,77696
kevinsawicki_http-request,1391,2721,672,152,20232,64592
knightliao_disconf,15949,1634,104,304,58004,195556
mabe02_lanterna,21107,7705,1396,2192,33520,112488
ninjaframework_ninja,0,0,0,0,4,4
notnoop_java-apns,2019,3611,428,264,44628,158068
pagehelper_Mybatis-PageHelper,2946,5221,4036,316,17780,57984
pedrovgs_Algorithms,2878,3671,680,708,11292,34756
qiujiayu_AutoLoadCache,4894,1201,204,572,42264,146404
querydsl_querydsl,57115,57893,13812,7604,267040,984128
royclarkson_spring-rest-service-oauth,356,152,20,96,89180,245164
searchbox-io_Jest,8540,13644,1384,1452,92576,318588
shopizer-ecommerce_shopizer,261568,2883,376,74484,439516,966436
sockeqwe_fragmentargs,1932,249,64,220,64944,222732
square_moshi,5947,8298,2200,1112,188232,672808
square_retrofit,6785,13000,3660,1476,151336,536644
stanford-futuredata_macrobase,22610,8255,1244,4348,122184,435872
tomighty_tomighty,4707,845,1224,1288,24340,77876
twitter_distributedlog,42791,21574,0,0,24,24
zeroturnaround_zt-zip,4309,2430,444,472,25484,83024
